parent_company,sector,total_scope1_emissions_mtco2e,facility_count
TENASKA ALABAMA PARTNERS LP,Utilities,1069085.0,1
EDISON INTERNATIONAL,Utilities,1056295.0,1
MISSOURI JOINT MUNICIPAL ELECTRIC UTILITY COMMISSION,Utilities,1054311.47,2
CK TECHNOLOGIES INC,Chemicals/Materials,1050986.0,1
DOGWOOD POWER MANAGEMENT LLC,Utilities,1048316.0,1
SOUTHERN ILLINOIS POWER COOPERATIVE,Utilities,1047164.0,1
KLEEN ENERGY SYSTEMS LLC,Utilities,1014344.0,1
BRIDGEPORT ENERGY LLC,Utilities,1012876.0,1
METHANEX USA LLC,Chemicals/Materials,1003452.0,1
NORTHERN STAR GENERATION LLC,Utilities,1002483.5,4
OSAKA GAS ENERGY AMERICA CORP,Utilities,991100.2,4
CALUMET SPECIALTY PRODUCTS PARTNERS LP,Energy; Chemicals/Materials,988070.0,4
ROCKLAND POWER PARTNERS II LP,Utilities,969910.0,3
BROOKLYN NAVY YARD COGENERATION PARTNERS LP,Utilities,955561.0,1
GREAT POINT POWER LLC,Utilities,948825.0,1
CXA LA PALOMA LLC,Utilities,943038.0,1
INTERMOUNTAIN RURAL ELECTRIC ASSOC,Utilities,927759.58,1
HUNT CRUDE OIL SUPPLY CO LLC,Energy; Chemicals/Materials,927237.0,2
KEYCON OPERATING LLC,Utilities,924494.53,2
UNIFIED GOVERNMENT OF WYANDOTTE COUNTY KANSAS,Utilities,910388.0,2
CAITHNESS LONG ISLAND LLC,Utilities,898317.0,1
CITY OF GAINESVILLE FLORIDA,Utilities,897305.0,3
NORTHERN MUNICIPAL POWER AGENCY,Utilities,880647.0,1
NEW HARQUAHALA GENERATING CO LLC,Utilities,879564.0,1
RI-CORP DEVELOPMENT INC DBA GILBERTON POWER CO,Utilities,875724.0,1
OKLAHOMA MUNICIPAL POWER AUTHORITY,Utilities,866182.97,6
"Riesel Holdco, LLC",Utilities,864774.75,1
ROCKLAND CAPITAL LLC,Utilities,863049.0,5
TOYOTA TSUSHO POWER USA INC,Utilities,851747.19,2
CAPITAL POWER INVESTMENTS LLC,Utilities,840519.0,1
PUBLIC POWER GENERATION AGENCY (PPGA-WEC2),Utilities,823260.75,1
CITY OF LAKELAND FLORIDA,Utilities,821581.0,2
TURLOCK IRRIGATION DISTRICT EMPLOYEES ASSOC,Utilities,813427.0,2
SUNCOR ENERGY (USA) INC,Energy; Chemicals/Materials,811958.0,1
CITY WATER & LIGHT PLANT OF THE CITY OF JONESBORO ARKANSAS,Utilities,806686.2,3
MATHESON TRI-GAS INC,Chemicals/Materials,804887.0,6
NORTHEAST TEXAS ELECTRIC COOPERATIVE INC,Utilities,801678.3,2
EGCO LINDEN II LLC,Utilities,787384.36,1
CITY OF SPRINGFIELD ILLINOIS,Utilities,779448.0,2
TOKAI CARBON CB LTD,Chemicals/Materials,772453.0,3
CELANESE CORP,Chemicals/Materials,763279.0,1
CENTRAL IOWA POWER COOPERATIVE,Utilities,761531.36,3
AGRIUM US INC,Chemicals/Materials,749428.0,2
CABOT CORP,Chemicals/Materials,732287.0,3
FIREWATER LLC,Chemicals/Materials,730559.0,1
Dairyland Power Cooperative,Utilities,727377.6,1
OCI PARTNERS LP,Chemicals/Materials,723476.0,1
RAYBURN COUNTY ELECTRIC COOP,Utilities,714866.25,1
NEW ATHENS GENERATING CO LLC,Utilities,705858.0,1
J POWER USA DEVELOPMENT CO LTD,Utilities,705650.0,6
CLARK PUBLIC UTILITIES,Utilities,700250.0,1
GRAYS HARBOR ENERGY LLC,Utilities,698906.0,1
POLARIS RATHDRUM LLC,Utilities,695632.0,1
UTAH MUNICIPAL POWER AGENCY (INC),Utilities,690488.51,3
MUSCATINE POWER & WATER (INC),Utilities,679622.0,1
SEMPRA ENERGY,Utilities,679414.0,1
LAFAYETTE PUBLIC POWER AUTHORITY,Utilities,679185.86,1
ORION ENGINEERED CARBONS LLC,Chemicals/Materials,678390.0,4
3M CO,Chemicals/Materials,677079.0,3
ALTAGAS SERVICES (US) INC,Utilities,674910.0,1
FTAI INFRASTRUCTURE INC,Utilities,672377.57,1
GENON ENERGY INC,Utilities,669972.0,3
LABOR IMPACT FUND LP,Utilities,669693.43,1
BARRICK GOLD OF NORTH AMERICA INC,Utilities,669518.52,1
HEOROT POWER HOLDINGS LLC,Utilities,663072.0,1
THE WILLIAM HERBERT HUNT TRUST ESTATE,Energy,655592.0,1
NC HOLDINGS USA INC,Chemicals/Materials,652479.19,1
LANSING BOARD OF WATER & LIGHT,Utilities,650524.0,2
G HOLDINGS LLC,Energy; Chemicals/Materials,646029.0,1
WOLVERINE POWER SUPPLY COOPERATIVE INC,Utilities,632010.8,3
DAIKIN HOLDINGS AMERICA INC,Chemicals/Materials,625971.0,1
RED APPLE GROUP INC,Energy; Chemicals/Materials,625206.0,1
GENTEX POWER CORP,Utilities,623874.0,1
CPV FAIRVIEW LLC CPV FAIRVIEW,Utilities,617107.5,1
MARUBENI AMERICA CORP,Utilities,611670.59,2
